,precision,recall,f1-score,support,split
Grape_Black_rot,0.9386503067484663,0.6510638297872341,0.7688442211055276,235.0,test
Grape_Esca,0.9233576642335767,0.9166666666666666,0.92,276.0,test
Grape_healthy,0.8350515463917526,0.9642857142857143,0.8950276243093923,84.0,test
Grape_spot,0.7644927536231884,0.9813953488372092,0.8594704684317719,215.0,test
accuracy,0.8617283950617284,0.8617283950617284,0.8617283950617284,0.8617283950617284,test
macro avg,0.865388067749246,0.8783528898942061,0.860835578461673,810.0,test
weighted avg,0.876468900420061,0.8617283950617284,0.8574899544624925,810.0,test
