,precision,recall,f1-score,support,split
Grape_Black_rot,0.1724137931034483,0.4,0.24096385542168675,125.0,test
Grape_Esca,0.5405405405405406,0.24390243902439024,0.33613445378151263,328.0,test
Grape_healthy,0.047058823529411764,0.14545454545454545,0.07111111111111111,55.0,test
Grape_spot,0.28,0.056,0.09333333333333334,125.0,test
accuracy,0.22906793048973143,0.22906793048973143,0.22906793048973143,0.22906793048973143,test
macro avg,0.26000328929335015,0.21133924611973393,0.18538568841191097,633.0,test
weighted avg,0.3735185730321422,0.22906793048973143,0.24636707827144508,633.0,test
