,precision,recall,f1-score,support,split
Apple_Black_rot,0.9763779527559056,0.992,0.9841269841269841,125.0,test
Apple_healthy,0.9818731117824774,0.9908536585365854,0.9863429438543247,328.0,test
Apple_rust,0.9322033898305084,1.0,0.9649122807017544,55.0,test
Apple_scab,0.9913793103448276,0.92,0.9543568464730291,125.0,test
accuracy,0.9778830963665087,0.9778830963665087,0.9778830963665087,0.9778830963665087,test
macro avg,0.9704584411784296,0.9757134146341463,0.972434763789023,633.0,test
weighted avg,0.9783494865606985,0.9778830963665087,0.9777269191908636,633.0,test
